config_id,vision_encoder,text_encoder,variant,task_id,raw_value,normalised_score,rank,absolute_gap_to_best,relative_gap_to_best
convnextv2_tiny__e5_small_v2__baseline,convnextv2_tiny,e5_small_v2,baseline,eurosat,0.2037037014961242,0.9146341406299289,4.0,0.0190123468637467,0.08536585937007113
dinov2_vits14__all_minilm_l6_v2__local,dinov2_vits14,all_minilm_l6_v2,local,eurosat,0.1967901289463043,0.883592046444382,7.0,0.025925919413566617,0.11640795355561795
dinov2_vits14__bge_small_en__baseline,dinov2_vits14,bge_small_en,baseline,eurosat,0.2227160483598709,1.0,1.0,0.0,0.0
dinov2_vits14__bge_small_en__local,dinov2_vits14,bge_small_en,local,eurosat,0.2138271629810333,0.9600887073729204,3.0,0.008888885378837613,0.0399112926270796
dinov2_vits14__distilbert__baseline,dinov2_vits14,distilbert,baseline,eurosat,0.1802469193935394,0.8093126683995906,14.0,0.04246912896633151,0.1906873316004094
dinov2_vits14__e5_small_v2__baseline,dinov2_vits14,e5_small_v2,baseline,eurosat,0.1970370411872863,0.8847006878862553,6.0,0.025679007172584617,0.11529931211374467
efficientnet_b0__all_minilm_l6_v2__baseline,efficientnet_b0,all_minilm_l6_v2,baseline,eurosat,0.1439506113529205,0.6463414397525634,20.0,0.0787654370069504,0.3536585602474366
efficientnet_b0__bge_small_en__baseline,efficientnet_b0,bge_small_en,baseline,eurosat,0.1728395074605941,0.7760532244237519,17.0,0.04987654089927682,0.2239467755762481
efficientnet_b0__distilbert__baseline,efficientnet_b0,distilbert,baseline,eurosat,0.1864197552204132,0.8370288382595172,10.0,0.0362962931394577,0.16297116174048276
efficientnet_b0__e5_small_v2__baseline,efficientnet_b0,e5_small_v2,baseline,eurosat,0.185679018497467,0.8337029139338966,11.0,0.0370370298624039,0.16629708606610338
swin_tiny__all_minilm_l6_v2__baseline,swin_tiny,all_minilm_l6_v2,baseline,eurosat,0.1365432143211364,0.6130820626832691,21.0,0.08617283403873452,0.38691793731673085
swin_tiny__bge_small_en__baseline,swin_tiny,bge_small_en,baseline,eurosat,0.1797530800104141,0.8070953186092992,15.0,0.042962968349456815,0.19290468139070083
swin_tiny__distilbert__baseline,swin_tiny,distilbert,baseline,eurosat,0.1246913596987724,0.5598669723938913,22.0,0.09802468866109851,0.44013302760610873
swin_tiny__e5_small_v2__baseline,swin_tiny,e5_small_v2,baseline,eurosat,0.1943209916353225,0.8725055651191023,8.0,0.028395056724548423,0.12749443488089773
